"service_unit","unitid","course","formal_name","meal","portion_size"
"Driscoll Dining Hall",27,"Marche","Sliced Garlic Toast","DINNER","Each"
"Driscoll Dining Hall",27,"Marche","Arugula Artichoke Salad","DINNER","4 oz"
"Driscoll Dining Hall",27,"Salads","Ancient Grain Salad","DINNER","4 oz."
"Driscoll Dining Hall",27,"Starch","Baked Stuffed Potatoes GF","DINNER","4 oz."
"Driscoll Dining Hall",27,"Salads","Strawberry Spinach Salad GF","DINNER","3 oz."
"Driscoll Dining Hall",27,"Entrees","Crab Cakes","DINNER","6 oz"
"Driscoll Dining Hall",27,"Marche","Mediterranean Mussels GF","DINNER","6 oz."
"Driscoll Dining Hall",27,"Entrees","Macaroni & Chickpea Casserole","DINNER","4 oz"
"Driscoll Dining Hall",27,"Misc","Quinoa Pilaf GF V","DINNER","4 oz."
"Driscoll Dining Hall",27,"Entrees","Ginger Flank Steak GF","DINNER","5 oz"
"Driscoll Dining Hall",27,"Vegetarian Delight","Orange Tofu Nuggets GF V","DINNER","5 oz"
"Driscoll Dining Hall",27,"Starch","Elbow Pasta GF V","DINNER","6 oz"
"Driscoll Dining Hall",27,"Desserts Williams' Bakeshop","Gluten Free Blondies","WILLIAMS' BAKESHOP","Each"
"Driscoll Dining Hall",27,"Desserts Williams' Bakeshop","Chocolate Chip Cookie Bar","WILLIAMS' BAKESHOP","Each"
"Driscoll Dining Hall",27,"Desserts Williams' Bakeshop","Apple Upside-Down Cake","WILLIAMS' BAKESHOP","Each"
"Driscoll Dining Hall",27,"Desserts Williams' Bakeshop","Jelly Donut","WILLIAMS' BAKESHOP","Each"
"Driscoll Dining Hall",27,"Desserts Williams' Bakeshop","Vegan Pumpkin Donut","WILLIAMS' BAKESHOP","Each"
"Driscoll Dining Hall",27,"Desserts Williams' Bakeshop","Gluten Free Chocolate Chip Bar GF","WILLIAMS' BAKESHOP","Each"
"Driscoll Dining Hall",27,"Breads Williams' Bakeshop","Sourdough Bread","WILLIAMS' BAKESHOP","Slice"
"Driscoll Dining Hall",27,"Entrees","Fiesta Bagel Sandwich","BREAKFAST","Sandwich"
"Driscoll Dining Hall",27,"Entrees","Farmer's Scramble w/Ham GF","BREAKFAST","2 Eggs"
"Driscoll Dining Hall",27,"Entrees","Local CF Fried Eggs GF","BREAKFAST","1 Egg"
"Driscoll Dining Hall",27,"Entrees","CageFree Scrambled Eggs GF","BREAKFAST","2 eggs"
"Driscoll Dining Hall",27,"Entrees","Egg Whites GF","BREAKFAST","2 eggs"
"Driscoll Dining Hall",27,"Entrees","Cream of Wheat V","BREAKFAST","4 oz"
"Driscoll Dining Hall",27,"Entrees","Ham GF","BREAKFAST","3 oz"
"Driscoll Dining Hall",27,"Entrees","Broccoli & Carrot Quiche","BREAKFAST","6 oz."
"Driscoll Dining Hall",27,"Entrees","Breakfast Potato & Veg GF","BREAKFAST","5 oz."
"Driscoll Dining Hall",27,"Entrees","Macaroni Salad","BREAKFAST","4 oz."
"Driscoll Dining Hall",27,"Entrees","Local Hard Boiled Eggs GF","BREAKFAST","Each"
"Driscoll Dining Hall",27,"Entrees","Breakfast Sausage GF","BREAKFAST","Each"
"Driscoll Dining Hall",27,"Starch","Hash Brown Potatoes GF","BREAKFAST","4 oz."
"Driscoll Dining Hall",27,"Fruits","Fresh Fruit Salad GF V","BREAKFAST","4 oz"
"Driscoll Dining Hall",27,"Marche","Linguini, Roasted Red Pepper Pasta Bowl","LUNCH","6 oz"
"Driscoll Dining Hall",27,"Bread","Garlic Naan","LUNCH","Each"
"Driscoll Dining Hall",27,"Vegan","Middle Eastern Eggplant GF V","LUNCH","6 oz"
"Driscoll Dining Hall",27,"Entrees","Burger Curry Turkey","LUNCH","Each"
"Driscoll Dining Hall",27,"Entrees","Greek Gyro Sandwich","LUNCH","Sandwich"
"Driscoll Dining Hall",27,"Entrees","Cucumber Gyro Sauce GF","LUNCH","2 oz"
"Driscoll Dining Hall",27,"Entrees","Chana Masala GF V","LUNCH","4 oz."
"Driscoll Dining Hall",27,"Vegan","Refried Beans & Avocado on Toast V","LUNCH","Each"
"Driscoll Dining Hall",27,"Soups","Beef Taco Soup GF","LUNCH","6 oz"
"Driscoll Dining Hall",27,"Soups","Honey Carrot Soup GF","LUNCH","6 oz."
"Driscoll Dining Hall",27,"Starch","Buffalo Chips","LUNCH","4 oz"
"Driscoll Dining Hall",27,"Salads","Fruit & Cheese Bar GF","LUNCH","2 oz"
